room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
18677630,1219,129827830,Shared room,,Berlin,,Mitte,0,0.0,1,1.0,,56.0,,"Beautifully,luxury  renovated location",2017-05-12 16:31:46.630036,52.525515,13.403137,0101000020E6100000779D0DF967CE2A405A47551344434A40
18167468,1219,23281546,Shared room,,Berlin,,Mitte,0,0.0,2,1.0,,44.0,,Coay Flat in Berlin-Wedding,2017-05-12 16:31:46.623822,52.551339,13.379333,0101000020E61000004F965AEF37C22A403201BF4692464A40
13792040,1219,21559754,Shared room,,Berlin,,Friedrichshain-Kreuzberg,1,0.0,2,1.0,,44.0,,Factory SVS,2017-05-12 16:31:46.620946,52.492033,13.40941,0101000020E61000008B4F01309ED12A40C1C6F5EFFA3E4A40
16185959,1219,18813126,Shared room,,Berlin,,Friedrichshain-Kreuzberg,3,4.5,4,1.0,,50.0,,Beautiful room in Kreuzberg,2017-05-12 16:31:46.618157,52.497288,13.430788,0101000020E6100000BC04A73E90DC2A40BC581822A73F4A40
17630310,1219,70554553,Shared room,,Berlin,,Lichtenberg,6,5.0,1,1.0,,11.0,,Shared room for a solo traveler,2017-05-12 16:31:44.846238,52.4897,13.522122,0101000020E6100000520B2593530B2B40F46C567DAE3E4A40
15603073,1219,100212942,Shared room,,Berlin,,Mitte,5,5.0,6,1.0,,16.0,,"4 bis 6 Bett Zimmer Dorm Ab 15,00 €",2017-05-12 16:31:44.838422,52.551042,13.392103,0101000020E6100000B55373B9C1C82A40795C548B88464A40
15656376,1219,100212942,Shared room,,Berlin,,Mitte,9,4.0,10,1.0,,22.0,,Hostelo Friends Berlin 10 Dorm,2017-05-12 16:31:44.836113,52.550556,13.392912,0101000020E61000007369FCC22BC92A40EC4E779E78464A40
15789499,1219,102139159,Shared room,,Berlin,,Friedrichshain-Kreuzberg,4,4.0,1,1.0,,35.0,,In the middle of it! Old Kreuzberg,2017-05-12 16:31:44.831800,52.492311,13.397767,0101000020E610000027DBC01DA8CB2A40043BFE0B043F4A40
10406196,1219,53520798,Shared room,,Berlin,,Mitte,4,4.5,1,1.0,,34.0,,Sanierte Altbauwohnung Trendviertel,2017-05-12 16:31:44.829013,52.527329,13.337786,0101000020E6100000E3175E49F2AC2A40BF9D44847F434A40
17540625,1219,118981627,Shared room,,Berlin,,Tempelhof-Schöneberg,0,0.0,2,1.0,,34.0,,28m2 Zimmer&Balkon in Schöneberg,2017-05-12 16:31:44.825575,52.48243,13.347654,0101000020E6100000ADA580B4FFB12A40FD4D2844C03D4A40
15762459,1219,101615990,Shared room,,Berlin,,Charlottenburg-Wilmersdorf,0,0.0,1,1.0,,23.0,,Live with students,2017-05-12 16:31:44.823037,52.515256,13.291726,0101000020E61000002AC93A1C5D952A40AD889AE8F3414A40
10985395,1219,30778641,Shared room,,Berlin,,Treptow-Köpenick,0,0.0,1,1.0,,16.0,,bed in shared room,2017-05-12 16:31:44.820296,52.438907,13.550174,0101000020E610000011381268B0192B40247EC51A2E384A40
15131252,1219,91879127,Shared room,,Berlin,,Mitte,1,0.0,1,1.0,,39.0,,"Cozy, central and typical B!",2017-05-12 16:31:44.818004,52.523283,13.349733,0101000020E6100000F8A92A3410B32A40C1C6F5EFFA424A40
12351012,1219,62436817,Shared room,,Berlin,,Charlottenburg-Wilmersdorf,2,0.0,2,1.0,,23.0,,TOP-Lage: Schlafsofa in Wohnzimmer,2017-05-12 16:31:43.171482,52.48829,13.321562,0101000020E6100000D04543C6A3A42A405F7B6649803E4A40
11593493,1219,37695014,Shared room,,Berlin,,Pankow,0,0.0,1,1.0,,26.0,,White lake walk through room comfy sofa bedroom,2017-05-12 16:31:43.168429,52.556271,13.430273,0101000020E610000020B41EBE4CDC2A404B5B5CE333474A40
16459946,1219,72106531,Shared room,,Berlin,,Friedrichshain-Kreuzberg,0,0.0,3,1.0,,28.0,,Nice big room in perfect location,2017-05-12 16:31:43.159225,52.518108,13.471643,0101000020E610000050C6F8307BF12A40E2E5E95C51424A40
2673405,1219,11058791,Shared room,,Berlin,,Tempelhof-Schöneberg,13,5.0,1,1.0,,35.0,,Bed' n desk in Schöneberg,2017-05-12 16:31:43.154700,52.482784,13.345225,0101000020E6100000F085C954C1B02A401B84B9DDCB3D4A40
10786963,1219,39127001,Shared room,,Berlin,,Mitte,6,4.5,1,1.0,,21.0,,Artistic Apartment Berlin center!,2017-05-12 16:31:43.151889,52.552835,13.361939,0101000020E61000003C4B901150B92A40C68A1A4CC3464A40
4854851,1219,7772115,Shared room,,Berlin,,Mitte,0,0.0,1,1.0,,39.0,,nice room in mitte' berlin,2017-05-12 16:31:43.149126,52.529811,13.397587,0101000020E610000027A1F48590CB2A40D107CBD8D0434A40
